Key,en-US,it-IT,zh-CN
ZeroEqualsRandom,0: Random coordinates,0: Coordinate casuali,0: 随机坐标
A001P,A001P - Low pressure alarm detected,A001P - Pressione troppo bassa,A001P - 检测到低压报警
A001T,A001T - High temperature alarm detected,A001T - Temperatura troppo alta,A001T - 检测到高温报警
A001V,A001V - Undervoltage alarm detected,A001V - Sottotensione rilevata,A001V - 检测到欠电压报警
Accordion,Accordion,Accordion,可折叠项
Acked,Acked,Riconosciuto,已应答
Acknowledge,Acknowledge,Riconosci,确认
AcknowledgeAll,Acknowledge All,Riconosci Tutti,全部确认
Acknowledge All,Acknowledge All,Riconosci tutti,全部确认
Active,Active,Attivo,活动
AdvancedSVG,Advanced SVG,SVG Avanzate,高级 SVG
Alarm1,Alarm 1,Allarme 1,报警 1
Alarm2,Alarm 2,Allarme 2,报警 2
Alarm3,Alarm 3,Allarme 3,报警 3
Alarm4,Alarm 4,Allarme 4,报警 4
Alarm5,Alarm 5,Allarme 5,报警 5
Alarm6,Alarm 6,Allarme 6,报警 6
AlarmMessage,Alarm Message,Messaggio Allarme,报警信息
AlarmType,Alarm Type,Tipo di Allarme,报警类型
Alarms,Alarms,Allarmi,报警
AlarmsGrid,Alarms Grid,Griglia Allarmi,报警网格
AlarmsHistory,Alarms History,Storico Allarmi,报警历史
AlarmsPerArea,Alarms per Area,Allarmi per Area,每区域报警数
Alias,Alias,Alias,别名
Aliases,Aliases,Aliases,别名
AnalogAlarm,Analog Alarm,Allarme Analogico,模拟量报警
Animations,Animations,Animazioni,动画
Apply,Apply,Applica,应用
Array,Array,Vettore,数组
Audit,Audit,Audit,审计
Auditing,Auditing,Tracciatura,审计
LoginFormAuthenticationFailed,Authentication failed,Autenticazione fallita,身份验证失败
Button,Button,Bottone,按钮
CallMethodsFrom,Call Methods From,Chiamata di Metodi,调用方法自
Cancel,Cancel,Annulla,取消
CannotCreateUserWithEmptyUsername,Cannot create user with empty username,Impossibile creare un utente con nome utente vuoto,无法创建用户名为空的用户
Change password,Change password,Cambia password,更改密码
ChangesAppliedSuccessfully,Changes applied successfully,Modifiche applicate correttamente,已成功应用更改
Close,Close,Chiudi,关闭
Command,Command,Comando,命令
CompanionSpecifications,Companion Specifications,Companion Specifications,配套规范
ConditionalConverter,Conditional Converter,Convertitore Condizionale,条件转换器
Confirm,Confirm,Conferma,证实
Confirm All,Confirm All,Conferma Tutti,全部证实
Confirm password,Confirm password,Conferma password,确认密码
Confirmed,Confirmed,Confermato,已证实
ControlType,Control Type,Tipo di Controllo,控制类型
Converters,Converters,Convertitori,转换器
ConveyorSpeed,Conveyor speed,Velocità Nastro,传送带速度
Coordinates,Coordinates,Coordinate,坐标
ReportCopyright,"Copyright ©2023 Rockwell Automation, Inc.","Copyright ©2023 Rockwell Automation, Inc.",版权所有 ©2023 Rockwell Automation， Inc.
Create,Create,Crea,创建
CreateAlarm,Create Alarm,Crea Allarme,创建报警
RecipeControllerCreatedAndSaved,created and saved,creata e salvata,已创建并保存
Current password,Current password,,当前密码
Current User:,Current User:,Utente corrente:,当前用户:
Data,Data,Dati,数据
AliasAccess,Data Access via Aliases,Puntamento Tramite Alias,通过别名访问数据
Grid,Data Grid,Griglia Dati,数据网格
Datalogger,Datalogger,Datalogger,数据记录器
Delete,Delete,Elimina,删除
DeleteAlarm,Delete Alarm,Cancella Allarme,删除报警
RecipeControllerDeleted,deleted,eliminata,已删除
DigitalAlarm,Digital Alarm,Allarme Digitale,数字量报警
Editable,Editable,Editabile,可编辑
RecipesEditorEditModelOfSchema,EditModel of schema,EditModel dello schema,架构的 EditModel
EngineeringUnitConverter,Engineering Unit Converter,Convertitore Unità Ingegneristiche,工程单位转换器
ExpressionEvaluator,Expression Evaluator,Valutatore Espressioni,表达式计算器
Favorites,Favorites,Preferiti,收藏夹
SideMenuHome,FEATURES DEMO HOME,FEATURES DEMO HOME,功能演示主页
FileSigningWorkflow,File Signing Workflow,Creazione Firma File,文件签名工作流
Generate,Generate,Genera,生成
GenerateUiControls,Generate UI Controls,Generazione di Elementi Grafici,生成 UI 控件
GenerateWidgets,Generate Widgets,Genera Oggetti,生成小部件
Groups,Groups,Gruppi,组
HistogramChart,Histogram Chart,Grafico a Barre,柱状图
History,History,Storico,历史
Horizontal Layout,Horizontal Layout,Horizontal Layout,水平布局
Image,Image,Immagine,图像
IndexedDynamicLink,Indexed DynamicLink,DynamicLink Indicizzato,索引的动态链接
RecipesEditorNotARecipe,is not a recipe,non è una ricetta,不是配方
RecipesEditorNotAStore,is not a store,non è uno store,不是存储库
RecipesEditorNotSet,is not set,non è impostato,未设置
KeyValueConverter,Key-Value Converter,Convertitore Chiave-Valore,键-值转换器
Label,Label,Etichetta,标签
LeftMargin,Left Margin,Margine Sinistro,左边距
Left Margin,Left Margin,Margine sinistro,左边距
Load,Load,Carica,加载
LocalTimestamp,Local Timestamp,Ora Locale,本地时间戳
Locale:,Locale:,Impostazioni locali:,区域设置:
Locales,Locales,,区域设置
Localization,Localization,Traduzioni,本地化
Login,Login,Accesso,登录
LoginFormLoginSuccessful,Login successful,Login riuscito,登录成功
Logout,Logout,Logout,注销
MachineToMachine,Machine to Machine,Machine to Machine,机器到机器
Matrix Viewer,Matrix Viewer,Visualizzatore matrice,查看器
Menu,Menu,Menu,菜单
Message,Message,Messaggio,消息
MotorSpeed,Motor Speed,Velocità Motore,电机速度
Name,Name,Nome,名称
NewAlarm,New Alarm,Nuovo Allarme,新建报警
New password,New password,Nuova password,新密码
NoFavorites,"No favorites tiles were found for the current user,\nUse the ""star"" icon to pin some tiles","Nessun preferito trovato per l'utente attuale,\nAggiungi dei preferiti usando l'icona a forma di stella sulle tiles",未找到当前用户的收藏夹平铺，\n使用“星形”图标固定某些平铺
EmptyUserList,No users in list,Nessun utente nell'elenco,列表中无用户
Not Editable,Not Editable,Non editabile,不可编辑
RecipesEditorNotFound,not found,non trovato,未找到
NumberOfInstances,Number of Instances,Numero di Istanze,实例数量
ObjectsDragging,Object Dragging,Trascinamento Oggetti,对象拖动
OOP,Object-oriented Programming,Programmazione ad Oggetti,面向对象编程
OFF,OFF,OFF,关
Ok,Ok,Ok,确定
Old password,Old password,Vecchia password,旧密码
ON,ON,ON,开
OPCUA,OPC/UA,OPC/UA,OPC/UA
OPCUACompanionSpecifications,OPC/UA Companion Specifications,OPC/UA Companion Specs,OPC/UA 配套规范
ParametersLogging,Parameters Logging,Registrazione Parametri,参数记录
